Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours)
6/7/24,208166,49746.2671,0:14:20,1510.233,The Sketchiest Hiding Spots Ever - Border Security Australia - DangerTV,19-Sep-24,5467,116172,61897.385
6/6/24,236674,54341.7484,0:13:46,1677.592,Pushing the Chopper to the Limits! | Coast Guard Alaska | Full Episode,30-May-20,2553,114546,31789.8171
6/5/24,259007,55934.9444,0:12:57,1679.375,Ecstasy Pill Smugglers Busted! | Border Security: Australia's Front Line,14-Oct-22,1281,114073,26901.4488
6/4/24,269031,57493.5851,0:12:49,1563.588,Broke Brit Gets Grilled | Border Security: Australia's Front Line,8-Sep-23,1385,114056,32622.4505
6/3/24,223550,49958.195,0:13:24,1379.576,Brit Defiant After Cocaine Discovery | Border Security: Australia's Front Line,6-Aug-23,1376,113280,26721.6307
6/2/24,235618,55118.9033,0:14:02,1308.155,Swallowing 143g of Heroin | Border Security: Australia's Front Line,8-Jul-22,1376,112701,24087.6747
6/1/24,201287,44363.0054,0:13:13,1121.078,Her Diary Leads to Bust - Border Security Australia,15-Aug-24,1385,111294,27399.4936
5/31/24,189969,44066.438,0:13:55,1253.844,"Airport Drama: Suspicion, Secrets, and Smuggled Snacks | Border Security: Australia's Front Line",8-Oct-23,1321,111294,27838.5361
5/30/24,215311,45301.1884,0:12:37,1372.901,Sea Rescue! | Coast Guard Alaska | Full Episodes,27-Jun-20,2553,110416,31787.406
5/29/24,235058,49235.9453,0:12:34,1545.891,27000 dollars worth of cigarettes - Border Security Australia,18-Jul-24,1406,109920,26469.0245
